Device,Status,Start Datetime,End Datetime,latitude,longitude,Length (mi),Top speed (mph),Avg Speed (mph),Engine Idle in Minutes,Duration in Minutes
#2,Moving,04/23/2024 16:00,04/23/2024 16:14,,,6.4,51.8,26.4,,14.483333333333333
#2,Stopped,04/23/2024 16:14,04/23/2024 23:36,35.860167,-78.821381,,,,2.0166666666666666,441.6166666666667
#1,Stopped,04/21/2024 00:02,04/21/2024 04:58,35.860312,-78.820868,,,,1.1,320.48333333333335
#1,Moving,04/21/2024 04:58,04/21/2024 05:15,,,5.1,60.6,16.9,,17.366666666666667
#1,Stopped,04/21/2024 05:15,04/21/2024 08:54,35.860408,-78.820875,,,,49.516666666666666,219.1
#1,Moving,04/21/2024 08:54,04/21/2024 09:12,,,4.8,50.0,15.6,,17.416666666666668
#1,Stopped,04/21/2024 09:12,04/21/2024 09:18,35.860838,-78.817694,,,,0.5166666666666667,6.516666666666667
#1,Moving,04/21/2024 09:18,04/21/2024 09:30,,,4.8,52.3,24.4,,11.766666666666667
#1,Stopped,04/21/2024 09:30,04/21/2024 12:57,35.860334,-78.820822,,,,2.8833333333333333,207.3
#1,Moving,04/21/2024 12:57,04/21/2024 12:59,,,0.5,28.3,15.0,,1.7
#1,Stopped,04/21/2024 12:59,04/21/2024 13:08,35.855904,-78.823919,,,,0.9666666666666667,9.2
#1,Moving,04/21/2024 13:08,04/21/2024 13:11,,,0.5,31.9,10.8,,2.6833333333333336
#1,Stopped,04/21/2024 13:11,04/21/2024 15:01,35.860308,-78.820798,,,,0.95,109.65
#1,Moving,04/21/2024 15:01,04/21/2024 15:14,,,3.6,49.9,15.3,,13.566666666666666
#1,Stopped,04/21/2024 15:14,04/21/2024 16:04,35.860356,-78.820871,,,,17.05,50.083333333333336
#1,Moving,04/21/2024 16:04,04/21/2024 16:37,,,10.6,46.5,19.3,,32.733333333333334
#1,Stopped,04/21/2024 16:37,04/21/2024 17:43,35.860373,-78.820917,,,,1.9833333333333334,66.25
#1,Moving,04/21/2024 17:43,04/21/2024 18:19,,,9.9,44.7,16.6,,35.96666666666667
#1,Stopped,04/21/2024 18:19,04/21/2024 19:34,35.860377,-78.82089,,,,2.1166666666666667,74.4
#1,Moving,04/21/2024 19:34,04/21/2024 19:41,,,2.9,45.5,22.9,,7.433333333333334
#1,Stopped,04/21/2024 19:41,04/21/2024 19:49,35.876433,-78.792554,,,,8.033333333333333,8.033333333333333
#1,Moving,04/21/2024 19:49,04/21/2024 19:58,,,2.1,43.2,13.8,,8.916666666666666
#1,Stopped,04/21/2024 19:58,04/21/2024 20:25,35.860368,-78.820912,,,,1.1833333333333333,27.1
#1,Moving,04/21/2024 20:25,04/21/2024 20:43,,,5.0,46.1,17.1,,17.383333333333333
#1,Stopped,04/21/2024 20:43,04/21/2024 21:00,35.860333,-78.820883,,,,1.7666666666666666,17.4
#1,Moving,04/21/2024 21:00,04/21/2024 21:08,,,2.9,41.4,22.5,,7.616666666666667
#1,Stopped,04/21/2024 21:08,04/21/2024 21:13,35.876244,-78.79277,,,,5.2,5.2
#1,Moving,04/21/2024 21:13,04/21/2024 21:19,,,2.0,47.4,18.8,,6.283333333333333
#1,Stopped,04/21/2024 21:19,04/21/2024 23:33,35.860362,-78.820838,,,,0.5833333333333334,134.11666666666667
#2,Stopped,04/21/2024 00:21,04/21/2024 03:50,35.860116,-78.821463,,,,0.0,23740.383333333335
#2,Moving,04/21/2024 03:50,04/21/2024 03:50,,,0.1,7.7,5.0,,0.45
#2,Stopped,04/21/2024 03:50,04/21/2024 04:03,35.860303,-78.820842,,,,1.8166666666666667,12.816666666666666
#2,Moving,04/21/2024 04:03,04/21/2024 04:15,,,2.9,54.3,15.3,,11.366666666666667
#2,Stopped,04/21/2024 04:15,04/21/2024 04:21,35.876119,-78.793256,,,,2.15,6.266666666666667
#2,Moving,04/21/2024 04:21,04/21/2024 04:25,,,2.1,59.6,30.2,,4.133333333333334
#2,Stopped,04/21/2024 04:25,04/21/2024 04:33,35.86033,-78.820868,,,,1.1666666666666667,7.983333333333333
#2,Moving,04/21/2024 04:33,04/21/2024 04:51,,,5.1,59.3,17.2,,17.733333333333334
#2,Stopped,04/21/2024 04:51,04/21/2024 23:56,35.860186,-78.821229,,,,1.5,1145.5333333333333
